"Time.sec.","Intensity"
5888,101.775
5890,101.963
5892,101.815
5894,101.667
5896,101.519
5898,101.721
5900,101.924
5902,102.126
5904,101.831
5906,101.536
5908,101.241
5910,101.359
5912,101.477
5914,101.595
5916,101.477
5918,101.358
5920,101.24
5922,101.27
5924,101.3
5926,101.33
5928,101.208
5930,101.085
5932,100.963
5934,101.054
5936,101.144
5938,101.235
5940,101.176
5942,101.117
5944,101.058
5946,101.046
5948,101.034
5950,101.022
5952,101.229
5954,101.437
5956,101.644
5958,101.474
5960,101.303
5962,101.133
5964,100.883
5966,100.632
5968,100.382
5970,100.509
5972,100.637
5974,100.764
5976,100.692
5978,100.619
5980,100.547
5982,100.678
5984,100.81
5986,100.941
5988,100.923
5990,100.906
5992,100.888
5994,100.834
5996,100.779
5998,100.725
6000,100.531
6300,100.853
6302,100.853
6304,100.853
6306,100.765
6308,100.678
6310,100.59
6312,100.608
6314,100.625
6316,100.643
6318,100.617
6320,100.592
6322,100.566
6324,100.626
6326,100.687
6328,100.747
6330,100.699
6332,100.65
6334,100.602
6336,100.54
6338,100.477
6340,100.415
6342,100.374
6344,100.332
6346,100.291
6348,100.265
6350,100.24
6352,100.214
6354,100.265
6356,100.315
6358,100.366
6360,100.138
6362,99.911
6364,99.683
6366,99.841
6368,100
6370,100.158
6372,100.191
6374,100.224
6376,100.257
6378,100.204
6380,100.151
6382,100.098
6384,100.186
6386,100.273
6388,100.361
6390,100.398
6392,100.436
6394,100.473
6396,100.395
6398,100.317
6400,100.239
6402,100.043
6404,99.846
6406,99.65
6408,99.611
6410,99.572
6412,99.533
6414,99.61
6416,99.688
6418,99.765
6420,99.626
6422,99.488
6424,99.349
6426,99.477
6428,99.606
6430,99.734
6432,99.709
6434,99.685
6436,99.66
6438,99.624
6440,99.589
6442,99.553
6444,99.488
6446,99.423
6448,99.358
6450,99.414
6452,99.47
6454,99.526
6456,99.392
6458,99.257
6460,99.123
6462,99.149
6464,99.175
6466,99.201
6468,99.06
6470,98.918
6472,98.777
6474,98.769
6476,98.761
6478,98.753
6480,99.022
6482,99.291
6484,99.56
6486,99.459
6488,99.358
6490,99.257
6492,99.221
