"Time_sec","MagnetsZ_mm","Extension_nm","expDetail","id"
171.121,-2,245.559,"expDetail","./sample.txt"
171.13,-2,257.198,"expDetail","./sample.txt"
171.14,-2,247.669,"expDetail","./sample.txt"
171.15,-2,229.889,"expDetail","./sample.txt"
171.162,-2,246.498,"expDetail","./sample.txt"
171.17,-2,249.417,"expDetail","./sample.txt"
171.18,-2,265.764,"expDetail","./sample.txt"
171.19,-2,253.849,"expDetail","./sample.txt"
171.2,-2,261.196,"expDetail","./sample.txt"
171.209,-2,242.882,"expDetail","./sample.txt"
171.219,-2,237.924,"expDetail","./sample.txt"
171.229,-2,254.834,"expDetail","./sample.txt"
171.239,-2,276.635,"expDetail","./sample.txt"
171.249,-2,248.851,"expDetail","./sample.txt"
171.259,-2,264.554,"expDetail","./sample.txt"
171.269,-2,267.204,"expDetail","./sample.txt"
171.279,-2,233.576,"expDetail","./sample.txt"
171.289,-2,248.801,"expDetail","./sample.txt"
171.298,-2,248.49,"expDetail","./sample.txt"
171.308,-2,235.916,"expDetail","./sample.txt"
171.318,-2,274.659,"expDetail","./sample.txt"
171.328,-2,242.058,"expDetail","./sample.txt"
171.337,-2,246.124,"expDetail","./sample.txt"
171.348,-2,238.092,"expDetail","./sample.txt"
171.358,-2,268.583,"expDetail","./sample.txt"
171.368,-2,236.921,"expDetail","./sample.txt"
171.377,-2,266.858,"expDetail","./sample.txt"
171.387,-2,259.441,"expDetail","./sample.txt"
171.397,-2,246.423,"expDetail","./sample.txt"
171.407,-2,243.147,"expDetail","./sample.txt"
171.416,-2,251.372,"expDetail","./sample.txt"
171.426,-2,262.828,"expDetail","./sample.txt"
171.437,-2,274.308,"expDetail","./sample.txt"
171.447,-2,256.424,"expDetail","./sample.txt"
171.457,-2,269.536,"expDetail","./sample.txt"
171.466,-2,281.831,"expDetail","./sample.txt"
171.478,-2,276.381,"expDetail","./sample.txt"
171.486,-2,267.389,"expDetail","./sample.txt"
171.496,-2,259.277,"expDetail","./sample.txt"
171.505,-2,256.735,"expDetail","./sample.txt"
171.515,-2,270.793,"expDetail","./sample.txt"
171.525,-2,250.161,"expDetail","./sample.txt"
171.536,-2,250.963,"expDetail","./sample.txt"
171.545,-2,267.055,"expDetail","./sample.txt"
171.555,-2,246.277,"expDetail","./sample.txt"
171.565,-2,245.277,"expDetail","./sample.txt"
171.575,-2,243.052,"expDetail","./sample.txt"
171.585,-2,261.801,"expDetail","./sample.txt"
171.594,-2,252.789,"expDetail","./sample.txt"
